2,"WireinBlood","2014-08-01 00:35:56.0"
2,"Justified","2014-08-01 00:37:50.0"
2,"BreakingBad","2014-08-01 00:45:12.0"
4,"WalkingDead","2014-08-01 01:02:08.0"
4,"TwinPeaks","2014-08-01 01:02:32.0"
4,"WalkingDead","2014-08-01 01:00:30.0"
4,"BreakingBad","2014-08-01 01:03:45.0"
6,"Justified","2014-08-01 01:25:39.0"
6,"WalkingDead","2014-08-01 01:30:23.0"
6,"Justified","2014-08-01 01:14:52.0"
6,"WireinBlood","2014-08-01 01:28:14.0"
6,"BreakingBad","2014-08-01 01:30:39.0"
8,"Justified","2014-08-01 01:50:39.0"
8,"WireinBlood","2014-08-01 01:35:37.0"
8,"Justified","2014-08-01 01:42:57.0"
8,"Justified","2014-08-01 01:41:24.0"
8,"Justified","2014-08-01 01:37:53.0"
8,"BreakingBad","2014-08-01 01:55:19.0"
10,"TwinPeaks","2014-08-01 02:22:42.0"
10,"WalkingDead","2014-08-01 02:18:28.0"
10,"WalkingDead","2014-08-01 02:25:48.0"
10,"WireinBlood","2014-08-01 02:15:43.0"
10,"WireinBlood","2014-08-01 02:00:03.0"
10,"BreakingBad","2014-08-01 02:32:51.0"
12,"WireinBlood","2014-08-01 02:37:10.0"
12,"WalkingDead","2014-08-01 02:35:02.0"
12,"WalkingDead","2014-08-01 02:36:41.0"
12,"BreakingBad","2014-08-01 02:42:06.0"
14,"WireinBlood","2014-08-01 02:51:54.0"
14,"WireinBlood","2014-08-01 02:51:59.0"
14,"TwinPeaks","2014-08-01 03:31:21.0"
14,"Justified","2014-08-01 03:20:59.0"
14,"TwinPeaks","2014-08-01 03:20:46.0"
14,"Justified","2014-08-01 04:01:00.0"
14,"WalkingDead","2014-08-01 03:38:55.0"
14,"TwinPeaks","2014-08-01 03:27:59.0"
14,"WireinBlood","2014-08-01 02:48:51.0"
14,"Justified","2014-08-01 03:07:47.0"
14,"Justified","2014-08-01 02:53:05.0"
14,"Justified","2014-08-01 03:58:21.0"
14,"WalkingDead","2014-08-01 03:11:58.0"
14,"Justified","2014-08-01 03:52:53.0"
14,"WalkingDead","2014-08-01 03:45:42.0"
14,"WireinBlood","2014-08-01 03:45:55.0"
14,"TwinPeaks","2014-08-01 03:21:42.0"
14,"WireinBlood","2014-08-01 02:51:36.0"
14,"WalkingDead","2014-08-01 03:26:29.0"
14,"WireinBlood","2014-08-01 03:23:03.0"
14,"TwinPeaks","2014-08-01 03:04:19.0"
14,"BreakingBad","2014-08-01 04:01:48.0"
18,"TwinPeaks","2014-08-01 04:47:43.0"
18,"BreakingBad","2014-08-01 04:47:58.0"
20,"TwinPeaks","2014-08-01 04:51:44.0"
20,"TwinPeaks","2014-08-01 05:05:28.0"
20,"TwinPeaks","2014-08-01 05:04:57.0"
20,"WireinBlood","2014-08-01 05:03:41.0"
20,"BreakingBad","2014-08-01 05:05:42.0"
22,"TwinPeaks","2014-08-01 05:15:08.0"
22,"Justified","2014-08-01 05:16:48.0"
22,"Justified","2014-08-01 05:17:41.0"
22,"TwinPeaks","2014-08-01 05:13:03.0"
22,"Justified","2014-08-01 05:16:16.0"
22,"BreakingBad","2014-08-01 05:22:47.0"
26,"BreakingBad","2014-08-01 05:54:46.0"
30,"TwinPeaks","2014-08-01 06:53:25.0"
30,"Justified","2014-08-01 06:58:54.0"
30,"WalkingDead","2014-08-01 08:00:40.0"
30,"WalkingDead","2014-08-01 07:56:39.0"
30,"WireinBlood","2014-08-01 07:26:50.0"
30,"Justified","2014-08-01 07:07:21.0"
30,"WalkingDead","2014-08-01 07:36:35.0"
30,"WalkingDead","2014-08-01 07:24:24.0"
30,"WalkingDead","2014-08-01 07:29:29.0"
30,"Justified","2014-08-01 07:48:29.0"
30,"WireinBlood","2014-08-01 08:00:39.0"
30,"WalkingDead","2014-08-01 08:00:39.0"
30,"WireinBlood","2014-08-01 06:37:02.0"
30,"Justified","2014-08-01 08:00:02.0"
30,"Justified","2014-08-01 07:48:16.0"
30,"WireinBlood","2014-08-01 07:28:05.0"
30,"Justified","2014-08-01 06:58:24.0"
30,"TwinPeaks","2014-08-01 06:50:28.0"
30,"WalkingDead","2014-08-01 07:57:24.0"
30,"TwinPeaks","2014-08-01 06:42:41.0"
30,"BreakingBad","2014-08-01 08:01:26.0"
34,"WalkingDead","2014-08-01 08:42:00.0"
34,"BreakingBad","2014-08-01 08:43:28.0"
38,"WalkingDead","2014-08-01 09:59:00.0"
38,"Justified","2014-08-01 09:59:56.0"
38,"Justified","2014-08-01 09:48:32.0"
38,"Justified","2014-08-01 09:47:21.0"
38,"WalkingDead","2014-08-01 09:35:10.0"
38,"Justified","2014-08-01 09:43:10.0"
38,"BreakingBad","2014-08-01 10:01:42.0"
46,"WireinBlood","2014-08-01 12:25:34.0"
46,"WalkingDead","2014-08-01 12:20:28.0"
46,"WalkingDead","2014-08-01 12:24:10.0"
46,"Justified","2014-08-01 12:23:22.0"
46,"BreakingBad","2014-08-01 12:25:43.0"
50,"BreakingBad","2014-08-01 13:28:35.0"
52,"TwinPeaks","2014-08-01 14:08:53.0"
52,"Justified","2014-08-01 13:54:56.0"
52,"WalkingDead","2014-08-01 13:50:04.0"
52,"WireinBlood","2014-08-01 13:50:22.0"
52,"Justified","2014-08-01 13:51:45.0"
52,"Justified","2014-08-01 13:43:07.0"
52,"Justified","2014-08-01 13:47:32.0"
52,"WireinBlood","2014-08-01 14:09:30.0"
